index,axis-0,axis-1,axis-2
0.0,10.0,66.13342157520029,193.38644736392845
1.0,10.0,71.82163697810749,200.5803668440758
2.0,10.0,75.50224694469449,211.7894971968635
3.0,10.0,70.98513471297407,222.32942573754448
4.0,10.0,63.95851568585342,225.34083389202476
5.0,9.0,63.95851568585342,196.06325461235537
6.0,9.0,73.82924241442767,201.91877046828924
7.0,9.0,76.67335011588128,211.45489629081013
8.0,9.0,72.6581392432409,223.33322845570459
9.0,9.0,63.62391477980006,227.01383842229157
10.0,8.0,63.12201342072001,194.8921514411686
11.0,8.0,71.31973561902744,198.74006186078228
12.0,8.0,77.67715283404137,210.61839402567674
13.0,8.0,73.66194196140098,226.17733615715818
14.0,8.0,63.95851568585342,229.69064567071848
